secid,description,founded,headquarters,employees,sector,ceo,link
ABIO,"ПАО «Артген» (ранее «Абиоген») — российская биотехнологическая компания, специализирующаяся на разработке, производстве и коммерциализации инновационных лекарственных препаратов и диагностических систем. Компания фокусируется на создании препаратов для лечения онкологических, аутоиммунных и инфекционных заболеваний, используя передовые технологии, включая моноклональные антитела и генную терапию. «Артген» входит в число лидеров российской фармацевтической отрасли, активно сотрудничает с научными институтами и участвует в государственных программах по импортозамещению. Среди ключевых разработок — препараты для лечения рассеянного склероза, ревматоидного артрита и онкологических заболеваний. Компания также развивает направление биоаналогов и ведет исследования в области персонализированной медицины.",2003,"Москва, Россия",500+,Фармацевтика и биотехнологии,Артур Исаев,https://www.artgen.ru
ABRD,"ПАО «Абрау-Дюрсо» — российская компания, известная прежде всего своим одноименным винодельческим холдингом, который является старейшим производителем игристых вин в России по классическому шампанскому методу. Основанное в 1870 году как царское имение, сегодня предприятие объединяет современные виноградники в Краснодарском крае (включая знаменитое урочище Абрау-Дюрсо), высокотехнологичное производство и развитую инфраструктуру для винного туризма. Компания контролирует полный цикл — от выращивания винограда (собственные 1000+ га виноградников) до бутилирования премиальных вин. Основные бренды: «Абрау-Дюрсо» (игристые вина), «Империал» (люксовая линейка), «Vedernikov Winery» (авторские вина). В 2020-х годах холдинг активно расширяет экспорт в Азию и Европу, развивает энотуризм (винные туры, ресторанный комплекс) и инвестирует в новые технологии виноделия.",1870,"Абрау-Дюрсо, Краснодарский край, Россия",1 500+,Пищевая промышленность (виноделие),Павел Титов,https://abradurso.ru
AFKS,"АФК «Система» — российский диверсифицированный холдинг, управляющий активами в телекоммуникациях (МТС), розничной торговле (Детский мир), туризме (Intourist), недвижимости (Sistema Real Estate), медицине (Медси) и IT (Sistema VC). Основанная Владимиром Евтушенковым в 1993 году, компания строит бизнес на принципах синергии между портфельными активами. Ключевой актив — ПАО «МТС» (крупнейший мобильный оператор России с долей рынка 30%), который обеспечивает основной cash flow. Холдинг активно участвует в цифровой трансформации: развивает облачные сервисы, кибербезопасность и e-commerce (совместные проекты МТС и X5 Group). В 2022-2023 годах АФК «Система» реструктурировала часть активов, сосредоточившись на устойчивых направлениях в условиях санкций. География работы: Россия, Беларусь, Армения, Индия (совместные предприятия в нефтегазовой сфере).",1993,"Москва, Россия",70 000+,"Конгломерат (телекоммуникации, розница, инвестиции)",Тагир Ситдеков,https://www.sistema.ru
AFLT,"ПАО «Аэрофлот» — крупнейшая авиакомпания России и национальный перевозчик, входящий в топ-20 европейских авиакомпаний по объему пассажиропотока. Основанная в 1923 году, компания играет ключевую роль в транспортной системе страны, обслуживая более 50 миллионов пассажиров ежегодно (до 2022 года). «Аэрофлот» владеет современным флотом из 180+ воздушных судов (преимущественно Airbus и Boeing, с планами перехода на российские самолеты SSJ-100 и МС-21), выполняет рейсы в 146 направлений. В структуру холдинга входят дочерние перевозчики «Победа» (лоукостер), «Россия» и Aurora (Дальний Восток). Компания развивает хаб в московском аэропорту Шереметьево, внедряет цифровые технологии (мобильное приложение с 10+ млн пользователей) и участвует в государственных программах развития авиасообщения. В 2022-2024 годах «Аэрофлот» адаптировался к санкционным ограничениям, переориентировав маршрутную сеть на Азию, Ближний Восток и СНГ.",1923,"Москва, Россия",30 000+,Авиаперевозки,Михаил Полубояринов,https://www.aeroflot.ru
AGRO,"ПАО «Русагро» (Ros Agro Plc) — крупнейший российский агропромышленный холдинг, занимающий лидирующие позиции в производстве сахара, свинины, растительных масел и жиров. Компания осуществляет полный цикл производства: от выращивания сельхозкультур (собственные 600+ тыс. га земель в Центральной России, Черноземье и на Дальнем Востоке) до глубокой переработки и реализации продукции под брендами «Сахарок», «Черкизово», «Белая птица». В сегменте свиноводства холдинг входит в топ-3 производителей России (300+ тыс. тонн мяса в год). «Русагро» активно развивает экспорт (20% выручки) в Китай, СНГ и Ближний Восток, инвестирует в логистику (элеваторы, терминалы) и биотехнологии (селекция семян). В 2023 году компания запустила проект по производству органических удобрений, завершила модернизацию сахарных заводов и вошла в рейтинг Forbes «200 крупнейших частных компаний России» (52-е место).",1995,"Москва, Россия",35 000+,Агропромышленный комплекс,Тимур Липатов,https://www.rusagrogroup.ru
AKRN,"ПАО «Акрон» — одна из ведущих вертикально интегрированных компаний в российском химическом секторе, специализирующаяся на производстве минеральных удобрений (азотных и сложных NPK), аммиака и промышленной химии. Входит в тройку крупнейших мировых производителей нитрата аммония и занимает 2-е место в России по выпуску аммиачной селитры. Компания контролирует полный производственный цикл: от добычи сырья (собственные месторождения апатитового концентрата в Хибинах и калийных солей) до логистики через порт Усть-Луга и экспорта в 70+ стран. Основные производственные мощности расположены в Великом Новгороде и на Кольском полуострове. «Акрон» активно инвестирует в экологические технологии (проекты по снижению выбросов CO2), цифровизацию и расширение линейки продуктов с высокой добавленной стоимостью. В 2023 году компания вошла в список Forbes Global 2000, демонстрируя устойчивые финансовые показатели несмотря на санкционное давление.",1961,"Великий Новгород, Россия",22 000+,Химическая промышленность (удобрения),Владимир Куницкий,https://www.acron.ru
ALRS,"ПАО «АЛРОСА» — российская группа компаний, являющаяся мировым лидером по добыче алмазов (27% мирового производства по объему и 29% по стоимости в 2022 году). Компания ведет добычу в Якутии (крупнейшие месторождения: «Мир», «Удачная», «Айхал») и Архангельской области (месторождение им. Ломоносова), а также занимается разведкой в Анголе и Зимбабве. «АЛРОСА» контролирует полный цикл — от геологоразведки до реализации алмазов через свою торговую дочку в Дубае (ALROSA Diamonds). Основные продукты: ювелирные (70% выручки) и технические алмазы, а также бриллианты (огранка на собственных предприятиях). В 2022-2023 годах компания переориентировала сбыт с западных рынков на Индию, Китай и ОАЭ, развивая прямые продажи производителям ювелирных изделий. «АЛРОСА» — ключевой участник госпрограмм развития Дальнего Востока, внедряет технологии искусственного интеллекта для сортировки алмазов и поддерживает экологические проекты в Арктике.",1992,"Мирный, Республика Саха (Якутия), Россия",32 000+,Горнодобывающая промышленность (алмазы),Павел Маринычев,https://www.alrosa.ru
AMEZ,"ПАО «Ашинский металлургический завод» (АМЕЗ) — один из старейших и крупнейших производителей ферросплавов и специальных сталей в России. Основанный в 1898 году, завод специализируется на выпуске высококачественных нержавеющих, инструментальных и конструкционных сталей, а также феррохрома и других ферросплавов, используемых в авиакосмической, нефтегазовой и оборонной промышленности. Компания обладает полным металлургическим циклом производства и является стратегически важным предприятием для российской промышленности. В последние годы АМЕЗ активно модернизирует производство, внедряет экологически чистые технологии и расширяет ассортимент продукции для импортозамещения. Завод сертифицирован по международным стандартам качества и поставляет продукцию как на внутренний рынок, так и на экспорт в страны СНГ, Европы и Азии.",1898,"Аша, Челябинская область, Россия",5 000+,"Металлургия (черная металлургия, ферросплавы)",Владимир Мызгин,http://www.amez.ru
APRI,"Группа Компаний «АПРИ» — ведущий девелопер Челябинской области, специализирующийся на комплексной застройке жилых районов с 2014 года. Компания реализует уникальный подход к созданию жилой среды, сочетая строительство жилья с развитием социальной инфраструктуры (школы, детские сады, медицинские центры) и благоустройством территорий. Среди ключевых проектов — жилой комплекс «Притяжение» с квартирами премиум-класса. «АПРИ» активно внедряет инновационные строительные технологии, что позволяет оптимизировать процессы и гарантировать качество. Компания неоднократно удостаивалась отраслевых премий за создание комфортной городской среды. Несмотря на отсутствие дивидендных выплат, «АПРИ» демонстрирует стабильный рост, укрепляя позиции на рынке Южного Урала и формируя новые стандарты комплексного развития территорий.",2014,"Челябинск, Россия",25,Девелопмент,Сергей Шаль,https://invest.апри.рф/
APTK,"ПАО «Аптечная сеть 36,6» — одна из крупнейших российских аптечных сетей, работающая под брендами «36,6», «Горздрав», «Аптека ИФК» и другими. Компания управляет более чем 1300 аптечными пунктами в 25 регионах России, предлагая широкий ассортимент лекарственных препаратов, медицинских изделий и товаров для здоровья. Сеть активно развивает omnichannel-подход, сочетая офлайн-аптеки с онлайн-продажами через собственный интернет-магазин и мобильное приложение. В 2022-2023 годах компания усилила фокус на импортозамещении, увеличив долю российских препаратов в ассортименте. «Аптечная сеть 36,6» входит в тройку лидеров российского фармацевтического ритейла по выручке и является частью фармацевтического дивизиона группы «Сафмар».",2002,"Москва, Россия",10 000+,Фармацевтический ритейл,Александр Кузин,https://www.366.ru
